,date,headline,link,time,content,time_adj,headline_text,lemma_headline,pos_headline,label_headline,cleaned
1124,2017-11-07,Amazon Debuts Fire TV Stick Basic Edition in Over 100 New Countries and Territories,/news-releases/news-release-details/amazon-debuts-fire-tv-stick-basic-edition-over-100-new-0,9:09 PM,,9.0,amazon debuts fire tv stick basic edition in over   new countries and territories,"['amazon', 'debuts', 'fire', 'tv', 'stick', 'basic', 'edition', 'in', 'over', '  ', 'new', 'country', 'and', 'territory']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADJ', 'NOUN', 'ADP', 'ADP', 'SPACE', 'ADJ', 'NOUN', 'CCONJ', 'NOUN']",['ORG'],"['amazon', 'debuts', 'fire', 'tv', 'stick', 'basic', 'edition', 'new', 'country', 'territory']"
1125,2017-11-06,AWS Announces Availability of C5 Instances for Amazon EC2,/news-releases/news-release-details/aws-announces-availability-c5-instances-amazon-ec2,7:16 PM,,9.0,aws announces availability of   instances for amazon  ,"['aws', 'announce', 'availability', 'of', '  ', 'instance', 'for', 'amazon', ' ']","['PROPN', 'VERB', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'ADP', 'PROPN', 'SPACE']","['ORG', 'ORG']","['aws', 'announce', 'availability', 'instance', 'amazon']"
1126,2017-11-06,Amazon Announces Winner of Fourth Annual Literary Award for Independent Spanish-Language Authors,/news-releases/news-release-details/amazon-announces-winner-fourth-annual-literary-award-independent,5:00 AM,,9.0,amazon announces winner of fourth annual literary award for independent spanish language authors,"['amazon', 'announces', 'winner', 'of', 'fourth', 'annual', 'literary', 'award', 'for', 'independent', 'spanish', 'language', 'author']","['PROPN', 'PROPN', 'PROPN', 'ADP', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'NOUN']","['ORG', 'ORDINAL', 'LANGUAGE']","['amazon', 'announces', 'winner', 'fourth', 'annual', 'literary', 'award', 'independent', 'spanish', 'language', 'author']"
1127,2017-11-01,The Holiday Shopping Season Starts Now! Amazon Opens its Black Friday Deals Store Kicking Off More than 50 Days of Holiday Deals,/news-releases/news-release-details/holiday-shopping-season-starts-now-amazon-opens-its-black-friday,9:00 AM EDT,,9.0,the holiday shopping season starts now  amazon opens its black friday deals store kicking off more than   days of holiday deals,"['the', 'holiday', 'shopping', 'season', 'start', 'now', ' ', 'amazon', 'open', '-PRON-', 'black', 'friday', 'deal', 'store', 'kick', 'off', 'more', 'than', '  ', 'day', 'of', 'holiday', 'deal']","['DET', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADV', 'SPACE', 'PROPN', 'VERB', 'DET', 'ADJ', 'PROPN', 'NOUN', 'NOUN', 'VERB', 'ADP', 'ADJ', 'SCONJ', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'NOUN']","['DATE', 'ORG', 'EVENT', 'DATE']","['holiday', 'shopping', 'season', 'start', 'amazon', 'open', 'black', 'friday', 'deal', 'store', 'kick', 'more', 'day', 'holiday', 'deal']"
1128,2017-10-31,Amazon to Create More Than 500 Full-Time Jobs in Macon,/news-releases/news-release-details/amazon-create-more-500-full-time-jobs-macon,8:50 AM EDT,,9.0,amazon to create more than   full time jobs in macon,"['amazon', 'to', 'create', 'more', 'than', '  ', 'full', 'time', 'job', 'in', 'macon']","['PROPN', 'PART', 'VERB', 'ADJ', 'SCONJ', 'SPACE', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'PROPN']","['ORG', 'GPE']","['amazon', 'create', 'more', 'full', 'time', 'job', 'macon']"
1129,2017-10-30,Amazon Studios to Expand and Relocate to Iconic Culver Studios,/news-releases/news-release-details/amazon-studios-expand-and-relocate-iconic-culver-studios,12:39 PM EDT,,9.0,amazon studios to expand and relocate to iconic culver studios,"['amazon', 'studios', 'to', 'expand', 'and', 'relocate', 'to', 'iconic', 'culver', 'studio']","['PROPN', 'PROPN', 'PART', 'VERB', 'CCONJ', 'VERB', 'ADP', 'ADJ', 'NOUN', 'NOUN']",['ORG'],"['amazon', 'studios', 'expand', 'relocate', 'iconic', 'culver', 'studio']"
1130,2017-10-26,Amazon.com Announces Third Quarter Sales up 34% to $43.7 Billion,/news-releases/news-release-details/amazoncom-announces-third-quarter-sales-34-437-billion,4:01 PM EDT,,9.0,amazon com announces third quarter sales up    to      billion,"['amazon', 'com', 'announce', 'third', 'quarter', 'sale', 'up', '   ', 'to', '     ', 'billion']","['PROPN', 'PROPN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'SPACE', 'PART', 'SPACE', 'NUM']","['ORG', 'DATE']","['amazon', 'com', 'announce', 'third', 'quarter', 'sale']"
1131,2017-10-26,LG Joins Amazon’s Expanded Lineup of Prime Exclusive Phones,/news-releases/news-release-details/lg-joins-amazons-expanded-lineup-prime-exclusive-phones,9:01 AM EDT,,9.0,lg joins amazon’s expanded lineup of prime exclusive phones,"['lg', 'joins', 'amazon', '’s', 'expand', 'lineup', 'of', 'prime', 'exclusive', 'phone']","['PROPN', 'PROPN', 'PROPN', 'PART', 'VERB', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN']",['ORG'],"['lg', 'joins', 'amazon', 'expand', 'lineup', 'prime', 'exclusive', 'phone']"
1132,2017-10-26,AWS Announces Availability of P3 Instances for Amazon EC2,/news-releases/news-release-details/aws-announces-availability-p3-instances-amazon-ec2,12:01 AM EDT,,9.0,aws announces availability of   instances for amazon  ,"['aws', 'announce', 'availability', 'of', '  ', 'instance', 'for', 'amazon', ' ']","['PROPN', 'VERB', 'NOUN', 'ADP', 'SPACE', 'NOUN', 'ADP', 'PROPN', 'SPACE']","['ORG', 'ORG']","['aws', 'announce', 'availability', 'instance', 'amazon']"
1133,2017-10-25,"Introducing Amazon Key, a New Level of Delivery Convenience for Prime Members",/news-releases/news-release-details/introducing-amazon-key-new-level-delivery-convenience-prime,7:00 AM EDT,,9.0,introducing amazon key  a new level of delivery convenience for prime members,"['introduce', 'amazon', 'key', ' ', 'a', 'new', 'level', 'of', 'delivery', 'convenience', 'for', 'prime', 'member']","['VERB', 'PROPN', 'PROPN', 'SPACE', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN']",['ORG'],"['introduce', 'amazon', 'key', 'new', 'level', 'delivery', 'convenience', 'prime', 'member']"
